STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
4679,HUDA PARK LAKE/ BUMRUKH KHAN DOWLA,LAKE,TELANGANA,22.0,40.0,0.0,1.0,7.2,7.6,1510,2152,22.00,42.00,0.98,4.60,22,58,350,430
4680,"LAKNAVARAM CHERUVU, MULUGU (V)",LAKE,TELANGANA,26.0,30.0,5.6,6.8,7.4,8.9,140,318,2.00,3.00,0.10,2.50,2,2,BDL,BDL
2344,"NALLA CHERUVU, RANGAREDDY",POND,TELANGANA,26.0,26.0,0.1,0.1,7.2,7.2,1507,1507,38.00,38.00,6.00,6.00,14,14,350,350
2345,"SAI CHERUVU, NEAR TANNERY INDUSTRIES, 
DESAIPET, WARANGAL",POND,TELANGANA,26.0,29.0,0.0,0.1,7.0,7.9,6570,12256,122.00,202.00,8.00,13.00,22,160,350,540
2346,"BHADRAKALI CHERUVU, BHADRAKALI TEMPLE, 
WARANGAL",POND,TELANGANA,26.0,30.0,5.4,6.1,7.4,8.2,390,548,2.00,3.00,0.00,2.80,2,2,BDL,50
2347,"ASANI KUNTA, KAJIPALLY, MEDAK",POND,TELANGANA,21.0,26.0,0.0,0.1,6.5,7.4,3064,15750,77.00,286.00,7.75,94.81,2,10,BDL,350
2357,DURGAM CHERUVU,POND,TELANGANA,25.0,30.0,0.1,3.0,1.4,7.8,1060,1260,10.00,18.00,3.03,5.60,14,32,320,440
2359,PEDDA CHERUVU,POND,TELANGANA,25.0,30.0,BDL,3.2,7.2,8.3,376,1672,18.00,40.00,0.40,21.50,14,86,320,540
3075,"RANGADHAMUNI CHERUVU, RANGA REDDY",POND,TELANGANA,25.0,30.0,0.0,1.0,7.2,7.8,1080,1690,10.00,24.00,1.40,4.00,20,58,22,560
3076,"AMBER CHERUVU, KUKATPALLY, RANGA 
REDDY",POND,TELANGANA,26.0,30.0,0.0,0.1,7.0,7.8,1520,1763,24.00,68.00,3.72,29.00,19,32,290,450
3077,"KAPRA CHERUVU, KAPRA, RANGA REDDY",POND,TELANGANA,22.0,30.0,BDL,2.2,7.0,7.8,1401,1812,12.00,26.00,5.60,10.00,16,217,280,540
3078,"PRAGATHINAGAR CHERUVU, KUKATPALLY, 
RANGA REDDY",POND,TELANGANA,26.0,30.0,0.0,4.1,7.0,7.5,594,1682,3.00,40.00,0.40,20.00,2,40,BDL,430
4665,"OUTLET OF KTPP ASH POND JOINING TO 
MORANCHA VAGU, CHELPUR, GHANPUR",POND,TELANGANA,27.0,30.0,4.5,5.2,7.4,8.3,673,944,3.00,4.00,0.42,1.00,2,2,BDL,BDL
4675,"LOTUS POND, HAKIMPET (V), SHAIK PET (NEW 
MANDAL)",POND,TELANGANA,23.0,29.0,0.1,6.2,7.1,8.0,720,986,8.00,18.00,2.60,33.08,20,33,153,350
1447,DHARMASAGAR TANK NEAR WARANGAL,TANK,TELANGANA,26.0,39.0,5.2,5.9,7.2,8.4,294,393,3.00,3.00,0.10,0.80,2,2,BDL,26
1464,BIBINAGAR TANK,TANK,TELANGANA,17.0,24.0,5.4,7.3,6.2,7.8,443,2129,2.80,5.00,6.30,16.39,2,8,BDL,140
1780,"GANDIGUDEM TANK , MEDAK DISTRICT",TANK,TELANGANA,18.0,30.0,1.3,7.2,6.8,7.7,1840,4100,2.00,16.00,12.37,28.30,2,2,BDL,50
1783,"KISTAREDDYPET TANK , MEDAK DIST.",TANK,TELANGANA,21.0,26.0,5.5,6.9,6.4,7.6,2441,6350,3.40,14.00,9.28,38.55,2,6,BDL,210
2343,"PREMAJIPET TANK, KATTEDAN, RANGAREDDY",TANK,TELANGANA,23.0,30.0,0.0,0.1,6.9,8.0,3072,5490,26.00,52.00,10.00,18.00,14,130,350,560
2348,"KAJIPALLY TANK, KAJIPALLY, MEDAK",TANK,TELANGANA,21.0,23.0,5.1,6.8,6.7,7.4,2021,3170,2.40,3.00,15.30,23.29,2,2,BDL,BDL
2358,MALLAPUR TANK,TANK,TELANGANA,26.0,31.0,0.0,0.9,7.1,8.0,1524,2097,24.00,48.00,2.60,14.00,20,94,350,860
3084,"WADDEPALLY TANK, KAZIPET, WARANGAL",TANK,TELANGANA,27.0,39.0,4.6,5.9,7.0,8.1,588,741,3.00,6.00,0.40,0.83,2,2,BDL,43
3085,"CHINNA WADDEPALLY TANK, WARANGAL",TANK,TELANGANA,26.0,29.0,0.0,3.8,7.1,8.0,1380,1890,14.00,30.00,0.58,4.70,22,70,350,432
3086,"SAKI TANK, PATANCHERU, RANGA REDDY",TANK,TELANGANA,18.0,29.0,6.0,7.5,6.4,7.9,282,2129,2.00,3.00,0.26,28.48,2,2,BDL,50
4222,"KONERU, KONDAGATTU TEMPLE, JAGITIYAL",TANK,TELANGANA,23.0,30.0,2.0,2.8,7.2,8.0,810,1122,6.00,12.00,2.00,3.90,11,23,220,350
4223,"VEMULAWADA TEMPLE KONERU, 
KARIMNAGAR",TANK,TELANGANA,24.0,30.0,1.4,2.6,7.0,7.8,923,1348,6.00,18.00,1.20,4.20,11,33,220,430
4225,"JOGULAMBA TEMPLE, GADWAL",TANK,TELANGANA,22.0,30.0,4.0,6.5,7.3,8.6,383,950,2.10,3.00,0.11,9.21,2,2,BDL,18
4228,"IBRAHIM CHERUVU, RAJENDRA NAGAR",TANK,TELANGANA,28.0,28.0,0.0,BDL,7.2,7.6,1669,1858,28.00,34.00,15.10,17.20,46,80,350,390
4230,"KISTAIPALLY TANK, KAZIPET, WARANGAL",TANK,TELANGANA,21.0,26.0,6.0,6.9,6.7,7.4,1160,1498,2.00,3.00,5.41,12.00,2,2,BDL,BDL
4231,"RAYAM CHERUVU, BONTHAPALLY VILLAGE, 
JINNARAM MANDAL, SANGAREDDY DISTRICT",TANK,TELANGANA,21.0,27.0,5.1,7.2,6.7,7.4,336,4750,2.00,4.20,2.36,23.22,2,2,BDL,32
4232,"KOMATI CHERUVU, SIDDIPET TOWN, SIDIPET 
DISTRICT",TANK,TELANGANA,19.0,30.0,6.1,7.2,6.6,7.9,678,1037,2.00,5.20,7.32,19.47,2,8,BDL,40
4233,"GADDAPOTHARAM CHERUVU, 
GADDAPOTHARAM VILLAGE, JINNARAM 
MANDAL, SANGAREDDY DIST",TANK,TELANGANA,21.0,27.0,4.5,5.5,6.5,7.5,4860,8960,6.30,26.00,20.62,45.43,2,4,BDL,70
